Grid,cutset,N,sample_num,log10(part),"time in sec	 "
Grids_15,4,100,8,266.0005459,6.160092831
Grids_15,4,100,9,267.1232842,6.379829407
Grids_15,4,1000,0,266.6149396,63.14417458
Grids_15,4,1000,1,264.4637568,61.2455833
Grids_15,4,1000,2,266.4957488,61.70712352
Grids_15,4,1000,3,265.7857662,62.16174936
Grids_15,4,1000,4,264.4195547,60.96641397
Grids_15,4,1000,5,266.2967708,61.48997211
Grids_15,4,1000,6,263.4138455,61.02083254
Grids_15,4,1000,7,264.0914865,64.92676663
Grids_15,4,1000,8,264.996472,63.07187986
Grids_15,4,1000,9,266.2195356,61.61344194
Grids_15,4,10000,0,253.3848137,631.6677935
Grids_15,4,10000,1,264.2829449,632.5439596
Grids_15,4,10000,2,263.5863433,628.0382907
Grids_15,4,10000,3,244.6846693,634.4035301
Grids_15,4,10000,4,262.9085874,623.7702622
Grids_15,4,10000,5,254.8242813,624.3732698
Grids_15,4,10000,6,234.3370547,649.6726413
Grids_15,4,10000,7,256.9496735,620.6015222
Grids_15,4,10000,8,261.925083,653.7651608
Grids_15,4,10000,9,264.0622994,654.7149167
Grids_15,4,20000,0,236.5183695,1260.208651
Grids_15,4,20000,1,249.5780888,1330.060837
Grids_18,5,100,0,1733.570205,10.09605885
Grids_18,5,1000,0,1718.408142,100.2112291
Grids_18,5,10000,0,1700.387644,998.1090333
Grids_18,5,20000,0,1690.575071,1994.3441
Grids_15,4,20000,2,251.4128126,1256.114931
Grids_15,4,20000,3,261.2241829,1292.758692
Grids_18,5,100,1,1726.40007,9.654579639
Grids_18,5,1000,1,1712.662436,96.4043107
Grids_18,5,10000,1,1711.822334,972.3086228
Grids_18,5,20000,1,1701.976273,1956.669193
Grids_15,4,20000,4,251.6834951,1341.631777
Grids_18,5,100,2,1739.995477,10.02008271
Grids_18,5,1000,2,1720.129358,99.69204092
Grids_18,5,10000,2,1714.247911,995.1397841
Grids_18,5,20000,2,1699.104844,1989.676601
Grids_15,4,20000,5,252.3822152,1258.354105
Grids_15,4,20000,6,250.2821706,1313.604858
Grids_18,5,100,3,1735.098772,10.07924128
Grids_18,5,1000,3,1719.387203,99.53954935
Grids_18,5,10000,3,1705.904223,998.1581471
Grids_18,5,20000,3,1710.418429,1996.086402
Grids_15,4,20000,7,233.2741243,1340.035743
Grids_18,5,100,4,1734.527217,10.10461521
Grids_18,5,1000,4,1717.974724,99.85003018
Grids_18,5,10000,4,1692.519426,999.7014897
Grids_18,5,20000,4,1680.426745,1999.580502
Grids_15,4,20000,8,251.8802473,1259.125893
Grids_18,4,100,0,1661.969929,6.529605389
Grids_18,4,1000,0,1645.224696,64.51223016
Grids_18,4,10000,0,1638.716966,644.6728008
Grids_18,4,20000,0,1626.616009,1289.106731
Grids_15,4,20000,9,261.6693502,1301.465623
Grids_15,5,100,0,271.7630508,10.1408546
Grids_15,5,100,1,271.2202182,9.856049776
Grids_15,5,100,2,271.5838801,10.02893233
Grids_15,5,100,3,270.906856,9.999258995
Grids_15,5,100,4,270.4639855,10.05532336
Grids_15,5,100,5,271.9549303,10.00861025
Grids_15,5,100,6,271.0652637,9.910266638
Grids_15,5,100,7,270.1080955,9.804205179
Grids_15,5,100,8,270.7499009,9.895889044
Grids_15,5,100,9,271.2866395,10.01653576
Grids_15,5,1000,0,271.3833127,99.7377739
Grids_15,5,1000,1,271.5115954,97.2712574
Grids_15,5,1000,2,271.1407796,98.11821485
Grids_15,5,1000,3,269.9204081,100.4258587
Grids_15,5,1000,4,271.6451984,99.47189307
Grids_15,5,1000,5,271.245458,99.51537132
Grids_15,5,1000,6,268.1282202,98.26975417
Grids_15,5,1000,7,269.8608587,99.59493613
Grids_15,5,1000,8,266.9018991,100.0020654
Grids_15,5,1000,9,269.3176889,98.39872551
Grids_18,4,100,1,1655.693693,6.524538517
Grids_18,4,1000,1,1643.991795,64.30030847
Grids_18,4,10000,1,1606.2143,643.2616153
Grids_18,4,20000,1,1596.400926,1286.852702
Grids_15,5,10000,0,248.4858016,995.7125781
Grids_18,4,100,2,1649.844837,6.647318125
Grids_18,4,1000,2,1639.81358,63.45526028
Grids_18,4,10000,2,1621.115331,627.3988411
Grids_18,4,20000,2,1607.858193,1254.053779
Grids_15,5,10000,1,250.5886566,1001.014167
Grids_18,4,100,3,1669.596767,6.74897337
Grids_18,4,1000,3,1654.347177,66.62574434
Grids_18,4,10000,3,1610.364513,666.8833797
Grids_18,4,20000,3,1598.873711,1333.371698
Grids_15,5,10000,2,270.2099452,995.6447246
Grids_18,4,100,4,1655.071943,6.343723059
Grids_18,4,1000,4,1639.157129,62.95211363
Grids_18,4,10000,4,1595.576134,627.3357582
Grids_18,4,20000,4,1590.685653,1253.319346
Grids_15,5,10000,3,265.6660997,993.704216
Grids_15,5,10000,4,259.5618188,986.330348
Grids_18,3,100,0,1652.453671,6.038918018
Grids_18,3,1000,0,1635.921903,59.48254776
Grids_18,3,10000,0,1633.929189,595.1732278
Grids_18,3,20000,0,1633.463008,1190.412751
Grids_15,5,10000,5,259.6704033,994.7405763
Grids_18,3,100,1,1634.748349,5.793321133
Grids_18,3,1000,1,1619.041126,56.97489643
Grids_18,3,10000,1,1614.85511,569.9407699
Grids_18,3,20000,1,1601.170077,1139.833466
Grids_15,5,10000,6,264.6319584,985.6094246
Grids_18,3,100,2,1633.94747,5.899204016
Grids_18,3,1000,2,1621.353458,58.62258959
Grids_18,3,10000,2,1589.232217,580.1146286
Grids_18,3,20000,2,1585.004837,1158.775046
Grids_15,5,10000,7,270.0575423,996.8076267
Grids_18,3,100,3,1645.466229,5.99474287
Grids_18,3,1000,3,1631.962165,59.060745
Grids_18,3,10000,3,1616.849807,590.3356504
Grids_18,3,20000,3,1603.621933,1180.139037
Grids_15,5,10000,8,266.0504534,992.108896
Grids_18,3,100,4,1653.199062,6.045475006
Grids_18,3,1000,4,1636.361225,59.53387523
Grids_18,3,10000,4,1611.336857,595.582866
Grids_18,3,20000,4,1596.058013,1191.700366
Grids_15,5,10000,9,249.4260096,993.9627841
Grids_18,2,100,0,1540.958429,4.796103716
Grids_18,2,1000,0,1518.069424,46.95343161
Grids_18,2,10000,0,1476.156154,469.73033
Grids_18,2,20000,0,1461.566481,939.3019083
Grids_18,2,100,1,1519.418249,4.769908667
Grids_18,2,1000,1,1507.693973,47.05049729
Grids_18,2,10000,1,1500.095773,467.9240873
Grids_18,2,20000,1,1499.522918,934.931242
Grids_15,5,20000,0,266.509843,1988.499548
Grids_18,2,100,2,1494.48149,4.628120184
Grids_18,2,1000,2,1473.217769,45.51289439
Grids_18,2,10000,2,1463.984135,454.1679926
Grids_18,2,20000,2,1451.13697,907.4406919
Grids_18,2,100,3,1521.222767,4.691941738
Grids_18,2,1000,3,1502.654649,45.77563858
Grids_18,2,10000,3,1453.389888,458.2624223
Grids_18,2,20000,3,1446.006625,915.5662556
Grids_15,5,20000,1,269.3758531,1954.960093
Grids_18,2,100,4,1508.00577,4.782519341
Grids_18,2,1000,4,1492.979708,45.65029883
Grids_18,2,10000,4,1481.007762,455.4826131
Grids_18,2,20000,4,1464.480078,910.9966776
Grids_18,1,100,0,1309.997775,4.336910725
Grids_18,1,1000,0,1298.396651,42.23038149
Grids_18,1,10000,0,1294.00149,422.0764692
Grids_18,1,20000,0,1283.703132,843.6413825
Grids_15,5,20000,2,267.1836678,1967.48233
Grids_18,1,100,1,1326.53972,4.342602015
Grids_18,1,1000,1,1320.089297,42.81410837
Grids_18,1,10000,1,1312.205077,423.356421
Grids_18,1,20000,1,1314.685903,846.079792
Grids_18,1,100,2,1317.004428,4.332245588
Grids_18,1,1000,2,1297.452486,42.14091372
Grids_18,1,10000,2,1290.27554,422.0946603
Grids_18,1,20000,2,1288.429107,843.7769284
Grids_18,1,100,3,1335.020037,4.347887516
Grids_18,1,1000,3,1320.209131,42.27778029
Grids_18,1,10000,3,1316.388108,422.8558631
Grids_18,1,20000,3,1316.417473,845.2584064
Grids_15,5,20000,3,259.8251606,1986.626249
Grids_18,1,100,4,1334.127893,4.357207537
Grids_18,1,1000,4,1325.990474,42.86647677
Grids_18,1,10000,4,1326.883703,424.1045439
Grids_18,1,20000,4,1326.977585,848.5293732
Grids_15,5,20000,4,270.1286519,1943.952616
Grids_17,5,100,0,1168.878357,10.00359797
Grids_17,5,1000,0,1158.19476,99.72668433
Grids_17,5,10000,0,1149.878173,995.3096871
Grids_17,5,20000,0,1136.821671,1989.061713
Grids_15,5,20000,5,268.9111663,1943.585252
Grids_17,5,100,1,1166.059192,9.88883853
Grids_17,5,1000,1,1154.361821,99.03254032
Grids_17,5,10000,1,1150.292677,985.844224
Grids_17,5,20000,1,1137.312647,1970.913729
Grids_15,5,20000,6,256.3179945,1953.24373
Grids_17,5,100,2,1167.698584,9.917313576
Grids_17,5,1000,2,1154.000069,98.82354474
Grids_17,5,10000,2,1150.608867,985.4354651
Grids_17,5,20000,2,1133.35163,1970.641999
Grids_15,5,20000,7,247.2066949,1947.524559
Grids_17,5,100,3,1163.078339,9.821540356
Grids_17,5,1000,3,1150.634237,98.02404523
Grids_17,5,10000,3,1138.468952,980.355556
Grids_17,5,20000,3,1129.601507,1960.587523
Grids_15,5,20000,8,264.8922545,1988.011398
Grids_17,5,100,4,1162.814845,9.838000536
Grids_17,5,1000,4,1151.480958,97.68134809
Grids_17,5,10000,4,1148.877809,980.2024565
Grids_17,5,20000,4,1148.528291,1959.569278
Grids_15,5,20000,9,257.9187515,1984.315212
Grids_14,1,100,0,397.18513,1.099188089
Grids_14,1,100,1,390.1950187,1.070635557
Grids_14,1,100,2,392.9510327,1.07166481
Grids_14,1,100,3,393.1165488,1.065485001
Grids_14,1,100,4,394.9596718,1.074889183
Grids_14,1,100,5,395.399952,1.073023558
Grids_14,1,100,6,390.9510374,1.101686478
Grids_14,1,100,7,394.7969881,1.092392206
Grids_14,1,100,8,390.1807434,1.073106527
Grids_14,1,100,9,400.4195702,1.09857583
Grids_14,1,1000,0,396.2111071,10.90852761
Grids_14,1,1000,1,396.0154516,10.92691255
